C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m E_G_750_maxreward2 -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -68.9000000000003
episode 2: -68.90000000000028
episode 3: -59.000000000000504
episode 4: -71.60000000000012
episode 5: -55.400000000000475
episode 6: -39.80011870141189
episode 7: -60.80000000000046
episode 8: -60.8000000000005
episode 9: -59.00000000000047
episode 10: -60.80000000000048
episode 11: -56.300000000000495
episode 12: -54.50000000000047
episode 13: -59.0000000000005
episode 14: -57.20000000000049
episode 15: -56.30000000000048
episode 16: -54.50000000000045
episode 17: -55.40000000000049
episode 18: -53.600000000000485
episode 19: -64.40000000000055
episode 20: -54.50000000000047
episode 21: -59.000000000000476
episode 22: -52.70000000000047
episode 23: -56.30000000000048
episode 24: -59.900000000000475
episode 25: -55.400000000000496
episode 26: -48.8132465234808
episode 27: -53.600000000000485
episode 28: -61.700000000000486
episode 29: -61.70000000000056
episode 30: -58.100000000000485
episode 31: -59.900000000000524
episode 32: -54.50000000000048
episode 33: -34.5350460747346
episode 34: -59.00000000000049
episode 35: -59.900000000000496
episode 36: -52.70000000000048
episode 37: -49.04574462609523
episode 38: -52.70000000000047
episode 39: -55.40000000000048
episode 40: -48.77278134429241
episode 41: -59.00000000000049
episode 42: -57.20000000000047
episode 43: -56.300000000000495
episode 44: -49.77255969081661
episode 45: -57.2000000000005
episode 46: -38.63492962102705
episode 47: -55.40000000000048
episode 48: -47.378783701408
episode 49: -44.32152023223417
episode 50: -53.600000000000485
episode 51: -53.60000000000047
episode 52: 8.485511238507787
episode 53: -34.02450582485522
episode 54: -56.300000000000495
episode 55: -41.307813423457276
episode 56: -46.16328202734402
episode 57: -53.60000000000047
episode 58: 119.25546912675645
episode 59: -55.40000000000048
episode 60: -49.114331395599166
episode 61: -48.67942527072924
episode 62: -33.1530813280172
episode 63: -49.69039212644779
episode 64: -49.74125362894385
episode 65: -46.83941612354667
episode 66: -54.500000000000504
episode 67: -48.50589904780929
episode 68: -36.73675663774565
episode 69: -47.36755475566869
episode 70: -45.45146715817535
episode 71: -53.60000000000047
episode 72: -42.01965755576732
episode 73: -56.3000000000005
episode 74: -54.021567021322134
episode 75: -57.20000000000047
episode 76: -53.60000000000047
episode 77: 24.032969275107263
episode 78: -44.614591685733345
episode 79: -55.40000000000051
episode 80: -41.03272896542127
episode 81: -56.30000000000048
episode 82: -56.3000000000005
episode 83: -49.23342629579616
episode 84: -56.30000000000048
episode 85: -55.40000000000048
episode 86: -52.700000000000486
episode 87: -46.771636780738085
episode 88: -56.30000000000048
episode 89: -56.300000000000466
episode 90: -46.772865839381744
episode 91: -48.806370834567325
episode 92: -55.40000000000048
episode 93: -58.10000000000048
episode 94: 365.59872086719105
episode 95: -57.20000000000044
episode 96: -52.70000000000045
episode 97: -54.50000000000045
episode 98: -37.86547188612256
episode 99: -41.685673991806496
episode 100: -39.004966921078335
episode 101: -53.60000000000047
episode 102: -49.22830949530606
episode 103: -40.019151349041756
episode 104: -55.40000000000048
episode 105: -54.50000000000048
episode 106: -16.339666852954796
episode 107: 117.99403985129308
episode 108: -57.200000000000486
episode 109: -30.386464127635126
episode 110: -40.35638415724001
episode 111: -41.248814625416436
episode 112: -54.50000000000047
episode 113: -49.84312370043596
episode 114: -49.51267908924177
episode 115: -56.30000000000048
episode 116: -35.26412494326929
episode 117: -42.54164187372757
episode 118: -48.5022074140108
episode 119: -53.600000000000485
episode 120: -41.242305395523935
episode 121: -12.340339305247635
episode 122: -43.2719426672886
episode 123: -43.20675788219278
episode 124: -22.45905459724562
episode 125: 186.00111914214222
episode 126: -53.600000000000485
episode 127: 37.59460662241492
episode 128: -31.29676037232184
episode 129: -35.61362956324421
episode 130: 13.038912515770097
episode 131: -56.30000000000047
episode 132: -51.80000000000045
episode 133: -20.973026669620776
episode 134: 160.32232309429025
episode 135: -52.70000000000045
episode 136: -49.09769748626474
episode 137: -44.75727193041724
episode 138: 460.4758534360626
episode 139: -36.93648887090151
episode 140: -44.652983966657104
episode 141: 66.96330959011806
episode 142: 6.16100902770646
episode 143: -46.3577282242462
episode 144: -55.40000000000048
episode 145: -56.30000000000048
episode 146: -55.400000000000496
episode 147: -55.400000000000475
episode 148: -46.412070496096455
episode 149: -12.776427010682148
episode 150: -46.46395316883109
episode 151: 303.21533560233735
episode 152: -21.206538339714392
episode 153: -40.581092941316776
episode 154: -39.98259697692525
episode 155: -44.263221470681906
episode 156: -56.3000000000005
episode 157: -54.50000000000047
episode 158: -48.47874565441916
episode 159: -39.83941761730161
episode 160: -38.03621554466494
episode 161: 430.4941236477599
episode 162: -41.15101568344128
episode 163: -56.30000000000048
episode 164: -48.707139425367295
episode 165: 699.3326056308458
episode 166: -23.698678040033215
episode 167: -40.37903605763304
episode 168: -46.99562715258154
episode 169: 709.9732123358784
episode 170: -42.30741925273924
episode 171: -54.50000000000047
episode 172: -54.50000000000046
episode 173: -43.03496680548006
episode 174: -46.79529354248912
episode 175: -44.3393626751352
episode 176: -29.489274292207224
episode 177: -43.239274412845965
episode 178: -42.57969837824373
episode 179: -39.669096584261446
episode 180: 157.56775428531384
episode 181: 222.37261681683913
episode 182: -52.70000000000047
episode 183: -53.600000000000485
episode 184: -40.94944029626656
episode 185: -52.70000000000045
episode 186: -33.07560240129625
episode 187: -55.40000000000048
episode 188: -26.541865668681744
episode 189: -42.51521045484133
episode 190: -35.621055734833206
episode 191: -37.11692182509883
episode 192: -50.5901190031608
episode 193: -28.38538046873103
episode 194: -45.106922073001144
episode 195: 61.07244334148666
episode 196: 497.988294752291
episode 197: -23.64070660046022
episode 198: -57.20000000000045
episode 199: -45.38857680473267
episode 200: -30.135443803105872
episode 201: -44.95991269183748
episode 202: -43.80587865706364
episode 203: -45.893583725509984
episode 204: -50.378565871987036
episode 205: -44.708532497096286
episode 206: -53.600000000000456
episode 207: 96.04334928315201
episode 208: -30.705418714399062
episode 209: -50.60135842701184
episode 210: -44.86354852086689
episode 211: -9.933648714915865
episode 212: 13.849015685937712
episode 213: -54.50000000000045
episode 214: -37.6533239882147
episode 215: -4.358029079063412
episode 216: -37.41993521311331
episode 217: 45.88552108271777
episode 218: -42.52807793100185
episode 219: 452.59846273234274
episode 220: -47.4902541182006
episode 221: -23.589373759403877
episode 222: -45.55098165691622
episode 223: 177.24821452549753
episode 224: -40.01093915611512
episode 225: -53.60000000000047
episode 226: -40.545920862695255
episode 227: -54.50000000000047
episode 228: -21.431749921009192
episode 229: -29.423911435573544
episode 230: -47.806153138507405
episode 231: -50.90000000000045
episode 232: 254.29476831807585
episode 233: 238.38296137803476
episode 234: -26.320572994576132
episode 235: -45.870101668325375
episode 236: -49.73598180626238
episode 237: 421.7160219322215
episode 238: -40.21667771393687
episode 239: -51.80000000000045
episode 240: -40.583939753986904
episode 241: -38.026722156150484
episode 242: -41.84289460956263
episode 243: -45.06779874531841
episode 244: -12.756542335228028
episode 245: 244.8213094838198
episode 246: -46.4424063230544
episode 247: 538.2620408687272
episode 248: -49.06422213978364
episode 249: -49.479275123354704
episode 250: 1.342907384758686
episode 251: -45.93291688091877
episode 252: -31.85368498210524
episode 253: -23.929589872196296
episode 254: -29.023909115742494
episode 255: -53.60000000000047
episode 256: -35.342412204465546
episode 257: -37.45766445392417
episode 258: -51.80000000000045
episode 259: -48.349363731947626
episode 260: 12.015804713368604
episode 261: 923.569496111755
episode 262: -54.50000000000045
episode 263: 3.0174863168118584
episode 264: -49.033984583176604
episode 265: -44.44466958689345
episode 266: -48.69016627849569
episode 267: 104.39380757667439
episode 268: 198.26695766204645
episode 269: -38.84094377632398
episode 270: -30.91475064586551
episode 271: -5.4292456584047635
episode 272: -40.86586491539934
episode 273: -34.8640865298163
episode 274: -50.74422902826785
episode 275: 571.500056708207
episode 276: -33.787483180960045
episode 277: -49.22470135518671
episode 278: 59.5625811756305
episode 279: 99.03689724893006
episode 280: -49.718542942444486
episode 281: 441.4472510754702
episode 282: -43.06361389186884
episode 283: -40.278959011627634
episode 284: -47.41887696930444
episode 285: -37.428890344979536
episode 286: 757.2228241160844
episode 287: -22.265086106729306
episode 288: -40.76929286588146
episode 289: -19.98011906083006
episode 290: 76.02519292772043
episode 291: 16.27015328135986
episode 292: -28.526913621276446
episode 293: -14.197869326325977
episode 294: -39.891148983411405
episode 295: 331.33772428526487
episode 296: 975.6726304732147
episode 297: -42.461073661815995
episode 298: -47.43460563599118
episode 299: -38.603658630115895
episode 300: -29.412962281317395
episode 301: -36.19493227089145
episode 302: -41.741553564478224
episode 303: -54.50000000000047
episode 304: -50.03579522830407
episode 305: -51.532476320355954
episode 306: 295.59764025654493
episode 307: -33.039573013050756
episode 308: -53.60000000000048
episode 309: 1548.9559229375332
episode 310: -44.55821114855528
episode 311: -41.31632691252637
episode 312: 51.252837921284176
episode 313: -43.30535846016822
episode 314: 1030.4908934873702
episode 315: -37.71626734075914
episode 316: 1625.6101104040997
episode 317: -54.50000000000045
episode 318: 240.66264859809104
episode 319: 6.8345235683908
episode 320: -41.30026514807712
episode 321: 143.624083494481
episode 322: -32.573054802841334
episode 323: -49.1973080150663
episode 324: 451.6652855565288
episode 325: 1396.8118769691168
episode 326: 811.9319686804479
episode 327: 681.5543668670878
episode 328: -41.03067803135438
episode 329: 6.9179044486233945
episode 330: -47.414987687073676
episode 331: 111.92912741431013
episode 332: -32.16981154089709
episode 333: -36.38025811248498
episode 334: 1046.8273930773526
episode 335: -40.578445158630984
episode 336: -39.07776678926764
episode 337: -24.290830626779154
episode 338: -33.70437281354952
episode 339: -44.4505395279946
episode 340: 120.3392410342756
episode 341: 155.9696239533454
episode 342: -10.547285361194405
episode 343: 995.8892614610444
episode 344: -41.333904627685094
episode 345: -21.42982304326163
episode 346: -33.736671584173514
episode 347: 1457.526146653497
episode 348: -45.52286064940298
episode 349: 31.92584828187075
episode 350: -43.365939232471874
episode 351: -42.589031478421965
episode 352: 421.68188974923095
episode 353: -51.80000000000047
episode 354: -43.717975211074354
episode 355: -44.50262491494856
episode 356: -45.96926905824173
episode 357: 737.7765837134193
episode 358: -31.27942701842896
episode 359: -13.79574209104489
episode 360: -36.89654540808671
episode 361: 345.0170905999174
episode 362: -35.09885702309965
episode 363: -39.646620987101876
episode 364: -41.127814208598295
episode 365: 29.931876882145417
episode 366: -38.98018275457932
episode 367: -47.44500043331093
episode 368: -30.749193267019955
episode 369: 12.746365858000313
episode 370: -29.29718714050082
episode 371: -43.73555293570425
episode 372: 88.18852887605215
episode 373: 153.444275839064
episode 374: 685.1176770892898
episode 375: -54.50000000000045
episode 376: 676.2374372264321
episode 377: 50.74934908137731
episode 378: 159.86417097698245
episode 379: -52.70000000000045
episode 380: -45.07459878708188
episode 381: -10.632409697286748
episode 382: 141.4087459311752
episode 383: 552.8385413877513
episode 384: 379.18847507188093
episode 385: -39.18636878123366
episode 386: -37.990239586335896
episode 387: 576.8828849603865
episode 388: 518.8749389291424
episode 389: -41.23509776737351
episode 390: 74.66172875613557
episode 391: 79.69293635141281
episode 392: -50.81416408925981
episode 393: 1125.718071415783
episode 394: 25.38184262205131
