C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m E_G_750_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -67.10000000000036
episode 2: -68.90000000000019
episode 3: -70.70000000000013
episode 4: -58.1000000000005
episode 5: -62.600000000000584
episode 6: -59.900000000000496
episode 7: -62.60000000000049
episode 8: -53.60000000000045
episode 9: -45.74562887904234
episode 10: -55.40000000000046
episode 11: -57.20000000000048
episode 12: -59.000000000000476
episode 13: -53.60000000000047
episode 14: -52.700000000000465
episode 15: -48.23955408434671
episode 16: -58.100000000000534
episode 17: -56.300000000000495
episode 18: -59.0000000000005
episode 19: -59.00000000000049
episode 20: -44.28912351912785
episode 21: -59.00000000000047
episode 22: -59.00000000000049
episode 23: -57.20000000000048
episode 24: -53.60000000000047
episode 25: -54.500000000000476
episode 26: -58.10000000000049
episode 27: -59.00000000000047
episode 28: -59.90000000000049
episode 29: -49.84778614444931
episode 30: -57.20000000000044
episode 31: -57.20000000000048
episode 32: -58.100000000000506
episode 33: -59.90000000000049
episode 34: -51.766230306091664
episode 35: -57.2000000000005
episode 36: -49.889795439640984
episode 37: -50.57211215405814
episode 38: -52.70000000000047
episode 39: -53.60000000000045
episode 40: -58.10000000000048
episode 41: -57.200000000000465
episode 42: -55.40000000000047
episode 43: -32.3082216474707
episode 44: -55.40000000000048
episode 45: -55.40000000000048
episode 46: -55.40000000000048
episode 47: -58.10000000000051
episode 48: -59.00000000000046
episode 49: -45.294489936166315
episode 50: -59.00000000000049
episode 51: -58.10000000000051
episode 52: -37.240785435192706
episode 53: -59.00000000000051
episode 54: -51.80000000000047
episode 55: -49.83645659160886
episode 56: -49.75578792943557
episode 57: -54.50000000000047
episode 58: -52.70000000000047
episode 59: -54.50000000000047
episode 60: -58.1000000000005
episode 61: -12.034329992358924
episode 62: -41.332079761432546
episode 63: -40.1181953955424
episode 64: -41.04724130866029
episode 65: -40.532485702864044
episode 66: -56.300000000000466
episode 67: -48.49896999665158
episode 68: -23.833478982003825
episode 69: -57.20000000000048
episode 70: -54.50000000000048
episode 71: -55.400000000000496
episode 72: -55.400000000000496
episode 73: -59.0000000000005
episode 74: -44.61353790580749
episode 75: -59.00000000000051
episode 76: -43.22903222149518
episode 77: -54.50000000000045
episode 78: -56.30000000000046
episode 79: -54.50000000000047
episode 80: -52.13066757925462
episode 81: -47.78326011813138
episode 82: -53.60000000000047
episode 83: -47.81777779686924
episode 84: -24.722542392632914
episode 85: 19.192330579707175
episode 86: -41.753135212298105
episode 87: -46.49695619833852
episode 88: -55.40000000000047
episode 89: -56.3000000000005
episode 90: -28.946546754215575
episode 91: -47.51399229764448
episode 92: -39.78066820136126
episode 93: -18.19132232774584
episode 94: -40.471075482566086
episode 95: -13.278725428837873
episode 96: -40.516313717491876
episode 97: -41.77721232151856
episode 98: -55.40000000000047
episode 99: -49.71489841650504
episode 100: -57.20000000000051
episode 101: -56.30000000000046
episode 102: -42.809859914028166
episode 103: -37.03576233229321
episode 104: -43.64659043946801
episode 105: -45.14441840994338
episode 106: -52.70000000000047
episode 107: -53.60000000000047
episode 108: -24.537938928953782
episode 109: -38.793820077050874
episode 110: -48.7527724915824
episode 111: 308.14393911889164
episode 112: -41.06136700519646
episode 113: -35.65722903058074
episode 114: -48.74488225029334
episode 115: -48.24860853086174
episode 116: 222.9986959853693
episode 117: -36.71825725711838
episode 118: -57.20000000000046
episode 119: -48.73574663432642
episode 120: 528.8294123379519
episode 121: -48.23126384152024
episode 122: -50.435238353050444
episode 123: -54.50000000000048
episode 124: -44.55611615560039
episode 125: 179.25082358988027
episode 126: -47.35760579323514
episode 127: -42.677799959168745
episode 128: -42.959853418068775
episode 129: -43.72463308384382
episode 130: -56.300000000000495
episode 131: -37.3735589220499
episode 132: 117.0368563662711
episode 133: -38.51651020770008
episode 134: -48.72785497167706
episode 135: -42.344808282878326
episode 136: -13.305729245102192
episode 137: -41.82515417770249
episode 138: -42.52768002905571
episode 139: 454.8619422558467
episode 140: -56.30000000000048
episode 141: -45.89906716204335
episode 142: -44.168526254066556
episode 143: -45.1204756182023
episode 144: -1.0380871934232883
episode 145: 1002.6977976988817
