C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m E_G_10000_episodes -d 0.99 -a 0.5 -e 0.002
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -61.7000000000005
episode 2: -59.9000000000005
episode 3: -61.70000000000053
episode 4: -68.90000000000022
episode 5: -57.20000000000049
episode 6: -67.10000000000042
episode 7: -53.600000000000485
episode 8: -60.80000000000058
episode 9: -66.20000000000041
episode 10: -54.500000000000476
episode 11: -59.900000000000475
episode 12: -57.200000000000514
episode 13: -63.50000000000052
episode 14: -56.30000000000048
episode 15: -55.40000000000046
episode 16: -58.10000000000048
episode 17: -55.400000000000496
episode 18: -55.40000000000048
episode 19: -58.10000000000046
episode 20: -57.20000000000048
episode 21: -54.50000000000046
episode 22: -55.400000000000496
episode 23: -56.30000000000047
episode 24: -58.10000000000048
episode 25: -54.50000000000047
episode 26: -54.500000000000504
episode 27: -58.10000000000047
episode 28: -47.9539099290896
episode 29: -57.200000000000465
episode 30: -45.32890050350832
episode 31: -54.50000000000047
episode 32: -59.0000000000005
episode 33: -55.400000000000475
episode 34: -52.70000000000045
episode 35: -56.3000000000005
episode 36: -62.6000000000005
episode 37: -56.30000000000048
episode 38: -52.700000000000486
episode 39: -38.02260602219849
episode 40: -57.2000000000005
episode 41: -42.812096884313526
episode 42: -56.30000000000048
episode 43: -32.648979009815
episode 44: -59.00000000000049
episode 45: -56.300000000000495
episode 46: -46.79116541263731
episode 47: -52.70000000000047
episode 48: -49.02555524315349
episode 49: -44.78293143561074
episode 50: -40.19860519439826
episode 51: -57.20000000000048
episode 52: -57.20000000000048
episode 53: -50.90000000000045
episode 54: -54.50000000000047
episode 55: -49.62979530966791
episode 56: -55.40000000000048
episode 57: -59.90000000000051
episode 58: -38.74449981476155
episode 59: -54.50000000000047
episode 60: -51.39337913128373
episode 61: -55.40000000000048
episode 62: -54.50000000000045
episode 63: -57.200000000000465
episode 64: -39.49527358759869
episode 65: -54.50000000000045
episode 66: -43.88375067793754
episode 67: -56.30000000000046
episode 68: -53.60000000000045
episode 69: -42.06789841416313
episode 70: -50.88856209319108
episode 71: -34.44678213571584
episode 72: -55.40000000000048
episode 73: -54.50000000000048
episode 74: -46.58046050336686
episode 75: -42.63933668014947
episode 76: -50.392000832117425
episode 77: -57.20000000000053
episode 78: -56.30000000000046
episode 79: -39.56435552667332
episode 80: -30.21464304632121
episode 81: -53.60000000000047
episode 82: -35.91753747296973
episode 83: -49.73479141982678
episode 84: -53.60000000000047
episode 85: -52.70000000000047
episode 86: -37.714356296424626
episode 87: -52.70000000000047
episode 88: -48.751772942381784
episode 89: -56.30000000000048
episode 90: -44.203198165275616
episode 91: -40.89233682457182
episode 92: -57.200000000000514
episode 93: -39.04669544274981
episode 94: -44.73148471388535
episode 95: -45.65899925631284
episode 96: -54.50000000000047
episode 97: -46.99671117076107
episode 98: -45.40641749892885
episode 99: -51.80000000000047
episode 100: -44.11084824089217
episode 101: -43.95476091609885
episode 102: -46.447136076349366
episode 103: -34.06711955393357
episode 104: -39.9628004551742
episode 105: -32.58573697624355
episode 106: -54.50000000000048
episode 107: -54.50000000000048
episode 108: -42.59840329388731
episode 109: -38.798716160270466
episode 110: -50.90000000000045
episode 111: -57.20000000000048
episode 112: -43.75731942957793
episode 113: -49.77510064658053
episode 114: 108.3649256870133
episode 115: -51.80000000000045
episode 116: -44.83746338912139
episode 117: -44.81504799535359
episode 118: -33.79912245787723
episode 119: -38.913268801395645
episode 120: -32.82910684159995
episode 121: -41.801956668206465
episode 122: -52.70000000000047
episode 123: -44.54868954147569
episode 124: -45.871788079587375
episode 125: 42.4421293927991
episode 126: -35.81922586202973
episode 127: -46.92474891543274
episode 128: -53.60000000000046
episode 129: -38.43201559092989
episode 130: -46.05367970116916
episode 131: -29.010798154216424
episode 132: -53.60000000000046
episode 133: -55.40000000000047
episode 134: -34.53348782227274
episode 135: -44.71483900391861
episode 136: -48.104189006938
episode 137: -40.252749419485916
episode 138: 606.7840279598281
episode 139: -43.53553399738437
episode 140: -56.300000000000466
episode 141: -33.205546345924596
episode 142: -39.871580297117625
episode 143: -57.20000000000044
episode 144: -37.40296403576256
episode 145: -32.842947467138906
episode 146: -49.73522666213121
episode 147: -38.56744177014579
episode 148: -47.207721549280016
episode 149: -37.20248524536488
episode 150: 552.272432502868
episode 151: -43.88501810048158
episode 152: -39.8118110987098
episode 153: -53.600000000000485
episode 154: -21.21276084943975
episode 155: 97.09960812068742
episode 156: 55.61103386822363
episode 157: -49.19738170033664
episode 158: -38.722965718218944
episode 159: 240.53058102475686
episode 160: -51.80000000000047
episode 161: -48.20512498726113
episode 162: -38.532910170786444
episode 163: -58.10000000000048
episode 164: 65.17380788694165
episode 165: -48.49058142093583
episode 166: 10.358895035034593
episode 167: -49.943426717422845
episode 168: -43.1939123381763
episode 169: -52.70000000000045
episode 170: -40.90490386323039
episode 171: -43.13774861520393
episode 172: -50.63339839126116
episode 173: -22.901987919776378
episode 174: -47.02878750149106
episode 175: -38.482097546889506
episode 176: -58.10000000000048
episode 177: -45.057645288343764
episode 178: -50.0702529057642
episode 179: -54.50000000000047
episode 180: -54.50000000000047
episode 181: -49.01291686775502
episode 182: -23.32860554609635
episode 183: -54.50000000000047
episode 184: -47.87145632116919
episode 185: 31.005277055948444
episode 186: -53.60000000000046
episode 187: 0.8913053023091273
episode 188: -33.30738751123995
episode 189: -39.286953596536804
episode 190: -41.33801429471747
episode 191: -39.706024449940465
episode 192: -36.91007218336092
episode 193: -53.60000000000047
episode 194: -13.23013934594562
episode 195: -38.46529269685068
episode 196: -29.684123699167916
episode 197: -44.02087219694489
episode 198: -24.752763644413665
episode 199: 79.33697718666744
