C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee eg --graphs -m epsilon_train_up -d 0.99 -a 0.5 -e 0.002 --noswing
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: 1462.6382046515255
episode 2: 2500.0
episode 3: 2183.7993247391073
episode 4: 329.6833551981674
episode 5: 388.1229386783211
episode 6: 498.18924335950396
episode 7: 463.84722950160136
episode 8: 204.52007261602836
episode 9: 458.379471268422
episode 10: 589.3238193580542
episode 11: 2404.7248644719157
episode 12: 1390.5044092371595
episode 13: 2500.0
episode 14: 2500.0
episode 15: 2500.0
episode 16: 642.7939742122986
episode 17: 459.3183062936749
episode 18: 2500.0
episode 19: 2500.0
episode 20: 2379.118364781122
episode 21: 1559.1483826777974
episode 22: 24.415256324037784
episode 23: 2500.0
episode 24: 2500.0
episode 25: 2500.0
episode 26: 2500.0
episode 27: 1357.7079841361008
episode 28: 591.1238193580541
episode 29: 453.8777302280572
episode 30: 2500.0
episode 31: 2500.0
episode 32: 2500.0
episode 33: 2500.0
episode 34: 2500.0
episode 35: 2442.2888896837558
episode 36: 2500.0
episode 37: 2410.2729459649145
episode 38: 2500.0
episode 39: 2500.0
episode 40: 2500.0
episode 41: 2500.0
episode 42: 2500.0
episode 43: 2500.0
episode 44: 2500.0
episode 45: 1826.9079841360933
episode 46: 2500.0
episode 47: 2500.0
episode 48: 1596.0638639838573
episode 49: 610.2659602821088
episode 50: -37.54325827067273
episode 51: 2500.0
episode 52: 2426.1629108685584
episode 53: 788.6256521154471
episode 54: 590.2238193580541
episode 55: -23.36444042229151
episode 56: -12.606069623785743
episode 57: 459.27947126842196
episode 58: 529.8449499367441
episode 59: 462.0922475634004
episode 60: 462.9643760475044
episode 61: 522.9328965077341
episode 62: 609.7499725565107
episode 63: 1050.6993247391274
episode 64: 2039.779389071056
episode 65: 2404.7448444982847
episode 66: 2500.0
episode 67: 2500.0
episode 68: 1141.631028034615
episode 69: 2309.07650004682
episode 70: 2500.0
episode 71: 2500.0
episode 72: 2500.0
episode 73: 2240.461148618018
episode 74: 2500.0
episode 75: 2404.714902895105
episode 76: 1177.3310280346143
episode 77: 685.8984067516647
episode 78: -29.924442523715587
episode 79: 552.687537364374
episode 80: -18.211123972946112
episode 81: 531.2197925651423
episode 82: 1120.0600102812066
episode 83: 1316.7993247391228
episode 84: -6.0681495197322946
episode 85: 2500.0
episode 86: 2500.0
episode 87: 2500.0
episode 88: 2443.224975263992
episode 89: 1566.0387082688856
episode 90: -45.80067526089883
episode 91: -30.089664721148985
episode 92: 759.6351582586557
episode 93: 1005.3937263936791
episode 94: 2500.0
episode 95: 980.6597865855558
episode 96: 2500.0
episode 97: 2007.2142390672982
episode 98: 802.5530791637132
episode 99: 306.03535793701946
episode 100: 1339.711265262979
episode 101: 638.7520584646643
episode 102: 988.4024755746865
episode 103: 907.9883774565229
episode 104: 2065.5717990059766
episode 105: 2500.0
episode 106: 968.6743926595448
episode 107: 656.9148224832273
episode 108: 2443.2404722720908
episode 109: 2500.0
episode 110: 2500.0
episode 111: 2441.930586560883
episode 112: 2410.2431735655023
episode 113: 2443.16116348676
episode 114: 2500.0
episode 115: 2500.0
episode 116: 1656.6364728813792
episode 117: 16.90664281284343
episode 118: 494.47703193407835
episode 119: 10.200995295392545
episode 120: 2442.383800468634
episode 121: 2500.0
episode 122: 2500.0
episode 123: 2500.0
episode 124: 2500.0
episode 125: 2417.423049963889
episode 126: 2400.248101143429
episode 127: 2443.432511345499
episode 128: 2500.0
episode 129: 2412.2850584012563
episode 130: 374.23899414787394
episode 131: 2196.993815047334
