C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_250_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 250
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -59.900000000000524
episode 2: -68.90000000000032
episode 3: -76.0999999999999
episode 4: -69.80000000000037
episode 5: -70.70000000000007
episode 6: -74.30000000000007
episode 7: -68.00000000000028
episode 8: -57.2000000000005
episode 9: -58.10000000000049
episode 10: -58.100000000000506
episode 11: -54.50000000000048
episode 12: -60.80000000000057
episode 13: -51.276331907987874
episode 14: -62.600000000000534
episode 15: -68.90000000000036
episode 16: -61.700000000000536
episode 17: -63.5000000000005
episode 18: -87.7999999999996
episode 19: -61.700000000000486
episode 20: -59.000000000000504
episode 21: -67.10000000000048
episode 22: -62.60000000000053
episode 23: -58.10000000000049
episode 24: -59.000000000000526
episode 25: -72.50000000000013
episode 26: -65.30000000000047
episode 27: -53.600000000000485
episode 28: -58.1000000000005
episode 29: -68.90000000000023
episode 30: -60.80000000000052
episode 31: -57.20000000000048
episode 32: -58.10000000000049
episode 33: -63.500000000000504
episode 34: -59.000000000000455
episode 35: -58.10000000000054
episode 36: -59.0000000000005
episode 37: -56.30000000000047
episode 38: -74.29999999999988
episode 39: -62.60000000000052
episode 40: -68.00000000000028
episode 41: -58.10000000000053
episode 42: -61.700000000000486
episode 43: -48.74533106931153
episode 44: -58.10000000000048
episode 45: -63.50000000000058
episode 46: -59.17633500834891
episode 47: -63.50000000000053
episode 48: -63.50000000000057
episode 49: -58.100000000000534
episode 50: -61.70000000000052
episode 51: -46.24869457108072
episode 52: -64.40000000000046
episode 53: -63.50000000000056
episode 54: -57.200000000000514
episode 55: -65.30000000000045
episode 56: -38.36679104746857
episode 57: -62.60000000000048
episode 58: -49.27740018085471
episode 59: -65.30000000000041
episode 60: -73.40000000000006
episode 61: -66.20000000000051
episode 62: -57.20000000000048
episode 63: -59.000000000000476
episode 64: -57.20000000000051
episode 65: -68.90000000000023
episode 66: -55.400000000000475
episode 67: -56.300000000000495
episode 68: -56.30000000000047
episode 69: -70.7000000000002
episode 70: -57.2000000000005
episode 71: -65.30000000000045
episode 72: -45.25602799185779
episode 73: -70.70000000000007
episode 74: -59.00000000000048
episode 75: -69.80000000000028
episode 76: -76.99999999999987
episode 77: -59.90000000000055
episode 78: -53.60000000000048
episode 79: -59.000000000000504
episode 80: -60.02862240703254
episode 81: -65.30000000000045
episode 82: -65.3000000000004
episode 83: -66.20000000000044
episode 84: -61.70000000000054
episode 85: -71.60000000000029
episode 86: -68.00000000000027
episode 87: -58.1000000000005
episode 88: -61.70000000000054
episode 89: -65.30000000000041
episode 90: -64.4000000000005
episode 91: -57.20000000000048
episode 92: -61.7000000000005
episode 93: -67.10000000000039
episode 94: -61.7000000000005
episode 95: -56.30000000000051
episode 96: -59.90000000000052
episode 97: -59.9000000000005
episode 98: -57.20000000000051
episode 99: -47.415484287994516
episode 100: -60.800000000000495
episode 101: -51.67295101258819
episode 102: -39.155994200397984
episode 103: -57.20000000000049
episode 104: -59.900000000000496
episode 105: -63.50000000000052
episode 106: -61.70000000000049
episode 107: -69.80000000000027
episode 108: -60.800000000000544
episode 109: -73.39999999999992
episode 110: -74.29999999999995
episode 111: -51.54168030095073
episode 112: -56.30000000000051
episode 113: -63.50000000000058
episode 114: -62.600000000000485
episode 115: -56.10256233852788
episode 116: -58.10000000000053
episode 117: -45.26945080482984
episode 118: -59.9000000000005
episode 119: -80.59999999999968
episode 120: -55.4000000000005
episode 121: -55.400000000000496
episode 122: -73.40000000000009
episode 123: -66.20000000000039
episode 124: -54.50000000000048
episode 125: -75.19999999999999
episode 126: -60.80000000000048
episode 127: -56.075917444410265
episode 128: -61.7000000000005
episode 129: -64.40000000000049
episode 130: -64.40000000000049
episode 131: -62.6000000000005
episode 132: -59.9000000000005
episode 133: -50.40932452747264
episode 134: -62.60000000000056
episode 135: -67.10000000000038
episode 136: -59.00000000000052
episode 137: -59.00000000000048
episode 138: -59.00000000000052
episode 139: -58.1000000000005
episode 140: -64.40000000000052
episode 141: -55.40000000000049
episode 142: -54.910467764572005
episode 143: -63.50000000000049
episode 144: -55.4000000000005
episode 145: -60.80000000000049
episode 146: -68.90000000000023
episode 147: -63.50000000000051
episode 148: -64.4000000000005
episode 149: -73.40000000000008
episode 150: -47.12093536969061
episode 151: -50.84311332156015
episode 152: -67.10000000000036
episode 153: -59.00000000000047
episode 154: -59.90000000000051
episode 155: -62.6000000000005
episode 156: -57.20000000000049
episode 157: -53.60000000000046
episode 158: -61.70000000000052
episode 159: -65.30000000000044
episode 160: -58.10000000000052
episode 161: -57.20000000000052
episode 162: -70.70000000000014
episode 163: -66.20000000000041
episode 164: -59.00000000000056
episode 165: -66.2000000000004
episode 166: -63.500000000000526
episode 167: -55.40000000000048
episode 168: -59.00000000000051
episode 169: -68.90000000000026
episode 170: -61.700000000000585
episode 171: -59.9000000000005
episode 172: -67.1000000000003
episode 173: -61.70000000000059
episode 174: -57.20000000000049
episode 175: -66.20000000000039
episode 176: -59.90000000000052
episode 177: -63.50000000000051
episode 178: -50.435160630982764
episode 179: -61.700000000000536
episode 180: -65.30000000000045
episode 181: -59.000000000000504
episode 182: -60.80000000000051
