C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_750_maxreward2 -d 0.99 -a 0.5 -e 0.002 --maxreward 750
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -80.5999999999997
episode 2: -72.50000000000004
episode 3: -68.12530052874487
episode 4: -67.10000000000035
episode 5: -71.6000000000001
episode 6: -82.39999999999942
episode 7: -56.300000000000495
episode 8: -64.40000000000055
episode 9: -76.1
episode 10: -62.600000000000534
episode 11: -63.50000000000046
episode 12: -59.90000000000047
episode 13: -60.80000000000047
episode 14: -63.50000000000048
episode 15: -79.69999999999965
episode 16: -63.500000000000504
episode 17: -63.500000000000526
episode 18: -80.59999999999977
episode 19: -60.80000000000054
episode 20: -76.99999999999997
episode 21: -56.30000000000047
episode 22: -45.05608420734092
episode 23: -67.10000000000036
episode 24: -59.0000000000005
episode 25: -64.40000000000055
episode 26: -68.00000000000024
episode 27: -62.60000000000061
episode 28: -55.400000000000496
episode 29: -56.300000000000495
episode 30: -68.90000000000019
episode 31: -71.60000000000012
episode 32: -53.71672167736329
episode 33: -61.700000000000514
episode 34: -68.00000000000027
episode 35: -66.20000000000047
episode 36: -58.10000000000047
episode 37: -58.10000000000049
episode 38: -70.70000000000022
episode 39: -64.4000000000005
episode 40: -63.5000000000005
episode 41: -59.90000000000052
episode 42: -59.90000000000049
episode 43: -59.0000000000005
episode 44: -64.40000000000046
episode 45: -57.20000000000051
episode 46: -62.600000000000485
episode 47: -68.00000000000028
episode 48: -63.50000000000048
episode 49: -61.70000000000053
episode 50: -75.19999999999975
episode 51: -66.20000000000041
episode 52: -65.30000000000047
episode 53: -65.30000000000041
episode 54: -58.10000000000052
episode 55: -58.10000000000048
episode 56: -68.90000000000028
episode 57: -63.50000000000052
episode 58: -63.500000000000526
episode 59: -52.19164073610172
episode 60: -59.90000000000053
episode 61: -57.200000000000465
episode 62: -67.10000000000029
episode 63: -63.50000000000052
episode 64: -60.80000000000051
episode 65: -64.40000000000046
episode 66: -56.30000000000051
episode 67: -56.30000000000052
episode 68: -64.4000000000005
episode 69: -54.500000000000476
episode 70: -59.00000000000049
episode 71: -62.60000000000047
episode 72: -56.30000000000048
episode 73: -59.000000000000526
episode 74: -60.800000000000516
episode 75: -43.642966662092526
episode 76: -72.50000000000017
episode 77: -64.40000000000049
episode 78: -59.90000000000054
episode 79: -65.30000000000042
episode 80: -58.10000000000051
episode 81: -56.00226475857469
episode 82: -61.7000000000005
episode 83: -68.00000000000033
episode 84: -73.40000000000002
episode 85: -59.900000000000496
episode 86: -67.10000000000034
episode 87: -59.90000000000052
episode 88: -76.99999999999984
episode 89: -58.10000000000051
episode 90: -56.300000000000495
episode 91: -59.00000000000052
episode 92: -67.10000000000032
episode 93: -58.10000000000049
episode 94: -66.20000000000039
episode 95: -57.20000000000051
episode 96: -63.50000000000054
episode 97: -58.100000000000506
episode 98: -59.900000000000496
episode 99: -63.50000000000055
episode 100: -47.140349628890895
episode 101: -60.80000000000056
episode 102: -70.70000000000016
episode 103: -66.20000000000046
episode 104: -59.00000000000051
episode 105: -59.00000000000049
episode 106: -60.80000000000047
episode 107: -71.6
episode 108: -62.600000000000506
episode 109: -70.7000000000002
episode 110: -59.000000000000476
episode 111: -67.10000000000029
episode 112: -80.59999999999951
episode 113: -59.9000000000005
episode 114: -60.800000000000466
episode 115: -42.94222493535494
episode 116: -59.000000000000504
episode 117: -57.200000000000465
episode 118: -61.70000000000052
episode 119: -63.500000000000504
episode 120: -71.60000000000021
episode 121: -66.20000000000046
episode 122: -60.800000000000566
episode 123: -60.80000000000049
episode 124: -60.80000000000049
episode 125: -68.9000000000002
episode 126: -63.5000000000005
episode 127: -62.600000000000485
episode 128: -58.10000000000049
episode 129: -55.40000000000048
episode 130: -58.100000000000485
episode 131: -55.57910056906878
episode 132: -63.50000000000048
episode 133: -59.0000000000005
episode 134: -68.90000000000019
episode 135: -54.50000000000048
episode 136: -62.60000000000056
episode 137: -57.20000000000049
episode 138: -61.70000000000052
episode 139: -60.800000000000495
episode 140: -60.8000000000005
episode 141: -76.99999999999964
episode 142: -58.100000000000506
episode 143: -49.696375996387744
episode 144: -61.70000000000054
episode 145: -73.40000000000002
episode 146: -60.80000000000049
episode 147: -69.80000000000024
episode 148: -59.900000000000524
episode 149: -56.30000000000049
episode 150: -67.1000000000004
episode 151: -66.20000000000041
episode 152: -58.10000000000049
episode 153: -61.70000000000053
episode 154: -67.10000000000042
episode 155: -69.8000000000003
episode 156: -58.100000000000506
episode 157: -65.30000000000038
episode 158: -58.100000000000506
episode 159: -62.60000000000049
episode 160: -69.8000000000002
episode 161: -65.30000000000044
episode 162: -58.100000000000485
episode 163: -57.200000000000486
episode 164: -74.29999999999997
episode 165: -18.617460530221862
episode 166: -60.800000000000516
episode 167: -67.10000000000032
episode 168: -54.191486585497394
episode 169: -62.600000000000485
episode 170: -64.40000000000047
episode 171: -59.00000000000049
episode 172: -59.00000000000053
episode 173: -58.10000000000047
episode 174: -61.7000000000005
episode 175: -63.50000000000051
episode 176: -60.80000000000054
episode 177: -67.10000000000034
episode 178: -59.000000000000554
episode 179: -68.0000000000003
episode 180: -61.70000000000048
episode 181: -68.90000000000022
episode 182: -56.3000000000005
episode 183: -58.52894779576711
episode 184: -61.7000000000005
episode 185: -71.60000000000016
episode 186: -64.40000000000052
episode 187: -56.300000000000495
episode 188: -64.40000000000055
episode 189: -59.00000000000049
episode 190: -60.800000000000495
episode 191: -63.50000000000055
episode 192: -56.300000000000495
