C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_10000_episodes -d 0.99 -a 0.5 -e 0.002 --maxepisodes 10000
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -66.20000000000039
episode 2: -60.80000000000052
episode 3: -59.90000000000053
episode 4: -68.90000000000026
episode 5: -62.60000000000047
episode 6: -59.9000000000005
episode 7: -68.00000000000027
episode 8: -77.89999999999986
episode 9: -67.10000000000034
episode 10: -71.60000000000015
episode 11: -62.60000000000051
episode 12: -65.30000000000048
episode 13: -60.80000000000054
episode 14: -58.100000000000506
episode 15: -60.80000000000049
episode 16: -76.09999999999978
episode 17: -58.10000000000048
episode 18: -69.80000000000015
episode 19: -56.30000000000046
episode 20: -67.10000000000045
episode 21: -62.6000000000005
episode 22: -59.00000000000048
episode 23: -60.800000000000495
episode 24: -69.80000000000021
episode 25: -59.35354459689969
episode 26: -68.9000000000002
episode 27: -66.20000000000049
episode 28: -52.3944446815125
episode 29: -63.50000000000056
episode 30: -56.30000000000048
episode 31: -57.2000000000005
episode 32: -62.60000000000051
episode 33: -49.11322271823829
episode 34: -71.60000000000015
episode 35: -63.50000000000055
episode 36: -61.700000000000536
episode 37: -68.00000000000031
episode 38: -63.50000000000056
episode 39: -61.70000000000053
episode 40: -59.90000000000048
episode 41: -59.000000000000455
episode 42: -62.600000000000506
episode 43: -68.00000000000031
episode 44: -60.800000000000516
episode 45: -65.30000000000054
episode 46: -60.800000000000495
episode 47: -57.20000000000051
episode 48: -57.20000000000049
episode 49: -68.00000000000027
episode 50: -58.10000000000047
episode 51: -62.600000000000506
episode 52: -51.30220213817819
episode 53: -43.40531634890696
episode 54: -58.100000000000556
episode 55: -69.80000000000028
episode 56: -61.70000000000051
episode 57: -68.90000000000023
episode 58: -67.10000000000028
episode 59: -41.9091652788256
episode 60: -57.20000000000051
episode 61: -59.90000000000052
episode 62: -59.90000000000053
episode 63: -50.768131441262625
episode 64: -59.000000000000526
episode 65: -71.6000000000001
episode 66: -57.20000000000051
episode 67: -68.9000000000002
episode 68: -61.700000000000514
episode 69: -60.80000000000052
episode 70: -68.00000000000026
