C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m softmax_train_up -d 0.99 -a 0.5 -e 0.002 --noswing
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -46.70067526089883
episode 2: -18.4117787047921
episode 3: -23.00609017863476
episode 4: -49.400675260898836
episode 5: -45.80067526089881
episode 6: -9.931364520974284
episode 7: -43.400675260898744
episode 8: 2500.0
episode 9: 2500.0
episode 10: 2500.0
episode 11: 2500.0
episode 12: 2500.0
episode 13: 2500.0
episode 14: 2500.0
episode 15: 2500.0
episode 16: 2500.0
episode 17: 2500.0
episode 18: 2500.0
episode 19: 2500.0
episode 20: 2500.0
episode 21: 2500.0
episode 22: 2500.0
episode 23: 2500.0
episode 24: 2500.0
episode 25: 2500.0
episode 26: 2500.0
episode 27: 2500.0
episode 28: 2500.0
episode 29: 2500.0
episode 30: 2500.0
episode 31: 2500.0
episode 32: 2500.0
episode 33: 2500.0
episode 34: 2500.0
episode 35: 2500.0
episode 36: 2500.0
episode 37: 2500.0
episode 38: 2500.0
episode 39: 2500.0
episode 40: 2500.0
episode 41: 2500.0
episode 42: 2500.0
episode 43: 2500.0
episode 44: 2500.0
episode 45: 2500.0
episode 46: 2500.0
episode 47: 2500.0
episode 48: 2500.0
episode 49: 2500.0
episode 50: 2500.0
episode 51: 2500.0
episode 52: 2500.0
episode 53: 2500.0
episode 54: 2500.0
episode 55: 2500.0
episode 56: 2500.0
episode 57: 2500.0
episode 58: 2500.0
episode 59: 2500.0
episode 60: 2500.0
episode 61: 2500.0
episode 62: 2500.0
episode 63: 2500.0
episode 64: 2500.0
episode 65: 2500.0
episode 66: 2500.0
episode 67: 2500.0
episode 68: 2500.0
episode 69: 2500.0
episode 70: 2500.0
episode 71: 2500.0
episode 72: 2500.0
episode 73: 2500.0
episode 74: 2500.0
episode 75: 2500.0
episode 76: 2500.0
episode 77: 2500.0
episode 78: 2500.0
episode 79: 2500.0
episode 80: 2500.0
episode 81: 2500.0
episode 82: 2500.0
episode 83: 2500.0
episode 84: 2500.0
episode 85: 2500.0
episode 86: 2500.0
episode 87: 2500.0
episode 88: 2500.0
episode 89: 2500.0
episode 90: 2500.0
episode 91: 2500.0
episode 92: 2500.0
episode 93: 2500.0
episode 94: 2500.0
episode 95: 2500.0
episode 96: 2500.0
episode 97: 2500.0
episode 98: 2500.0
episode 99: 2500.0
episode 100: 2500.0
episode 101: 2500.0
episode 102: 2500.0
episode 103: 2500.0
episode 104: 2500.0
episode 105: 2500.0
episode 106: 2500.0
episode 107: 2500.0
episode 108: 2500.0
episode 109: 2500.0
episode 110: 2500.0
episode 111: 2500.0
episode 112: 2500.0
episode 113: 2500.0
episode 114: 2500.0
episode 115: 2500.0
episode 116: 2500.0
episode 117: 2500.0
episode 118: 2500.0
episode 119: 2500.0
episode 120: 2500.0
episode 121: 2500.0
episode 122: 2500.0
episode 123: 2500.0
episode 124: 2500.0
episode 125: 2500.0
episode 126: 2500.0
episode 127: 2500.0
episode 128: 2500.0
episode 129: 2500.0
episode 130: 2500.0
episode 131: 2500.0
episode 132: 2500.0
episode 133: 2500.0
episode 134: 2500.0
episode 135: 2500.0
episode 136: 2500.0
episode 137: 2500.0
episode 138: 2500.0
episode 139: 2500.0
episode 140: 2500.0
episode 141: 2500.0
episode 142: 2500.0
episode 143: 2500.0
episode 144: 2500.0
episode 145: 2500.0
episode 146: 2500.0
episode 147: 2500.0
episode 148: 2500.0
episode 149: 2500.0
episode 150: 2500.0
episode 151: 2500.0
episode 152: 2500.0
episode 153: 2500.0
episode 154: 2500.0
episode 155: 2500.0
episode 156: 2500.0
episode 157: 2500.0
episode 158: 2500.0
episode 159: 2500.0
episode 160: 2500.0
episode 161: 2500.0
episode 162: 2500.0
episode 163: 2500.0
episode 164: 2500.0
episode 165: 2500.0
episode 166: 2500.0
episode 167: 2500.0
episode 168: 2500.0
episode 169: 2500.0
episode 170: 2500.0
episode 171: 2500.0
episode 172: 2500.0
episode 173: 2500.0
episode 174: 2500.0
episode 175: 2500.0
episode 176: 2500.0
episode 177: 2500.0
episode 178: 2500.0
episode 179: 2500.0
episode 180: 2500.0
episode 181: 2500.0
episode 182: 2500.0
episode 183: 2500.0
episode 184: 2500.0
episode 185: 2500.0
episode 186: 2500.0
episode 187: 2500.0
episode 188: 2500.0
episode 189: 2500.0
episode 190: 2500.0
episode 191: 2500.0
episode 192: 2500.0
episode 193: 2500.0
episode 194: 2500.0
episode 195: 2500.0
episode 196: 2500.0
episode 197: 2500.0
episode 198: 2500.0
episode 199: 2500.0
episode 200: 2500.0
episode 201: 2500.0
episode 202: 2500.0
episode 203: 2500.0
episode 204: 2500.0
episode 205: 2500.0
episode 206: 2500.0
episode 207: 2500.0
episode 208: 2500.0
episode 209: 2500.0
episode 210: 2500.0
episode 211: 2500.0
episode 212: 2500.0
