C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m softmax_train -d 0.99 -a 0.5 -e 0.002
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 1: -59.90000000000052
episode 2: -68.00000000000026
episode 3: -80.60000000000007
episode 4: -59.90000000000056
episode 5: -62.60000000000051
episode 6: -62.600000000000584
episode 7: -61.700000000000514
episode 8: -79.69999999999972
episode 9: -62.600000000000534
episode 10: -76.09999999999991
episode 11: -67.10000000000032
episode 12: -65.30000000000047
episode 13: -67.10000000000029
episode 14: -61.700000000000514
episode 15: -56.300000000000495
episode 16: -59.90000000000052
episode 17: -62.60000000000051
episode 18: -62.600000000000534
episode 19: -58.100000000000506
episode 20: -60.80000000000059
episode 21: -60.80000000000049
episode 22: -55.40000000000052
episode 23: -76.10000000000004
episode 24: -64.40000000000045
episode 25: -63.50000000000055
episode 26: -58.100000000000506
episode 27: -63.50000000000051
episode 28: -64.40000000000055
episode 29: -57.200000000000486
episode 30: -75.19999999999999
episode 31: -64.40000000000052
episode 32: -63.500000000000526
episode 33: -68.00000000000026
episode 34: -55.40000000000048
episode 35: -67.10000000000039
episode 36: -62.600000000000506
episode 37: -67.10000000000032
episode 38: -72.5000000000001
episode 39: -63.5000000000005
episode 40: -63.50000000000058
episode 41: -56.3000000000005
episode 42: -52.475510109137446
episode 43: -56.300000000000495
episode 44: -66.20000000000036
episode 45: -66.20000000000036
episode 46: -58.100000000000506
episode 47: -55.40000000000046
episode 48: -68.00000000000037
episode 49: -61.70000000000052
episode 50: -61.70000000000047
episode 51: -59.9000000000005
episode 52: -55.400000000000496
episode 53: -62.60000000000051
episode 54: -62.60000000000054
episode 55: -68.90000000000026
episode 56: -59.90000000000053
episode 57: -81.49999999999983
episode 58: -59.900000000000574
episode 59: -67.10000000000035
episode 60: -64.40000000000047
episode 61: -84.19999999999979
episode 62: -59.90000000000052
episode 63: -63.50000000000053
